Free votes in the House of Commons since 1979													
Date	Debate	Hansard Ref	Division	Ayes	Noes	Session	Parliament			30/03/2022	"Health and Care Bill (Lords amendments)
Making permanent telemedicine for early medical abortion"		
10/03/2003	"Local Government Bill
Leave out Clause 119 (Repeal of prohibition on promotion of homosexuality)
"	401 c40-129	Div 109	77	368	2002-03	2001						
09/07/2003	"Hunting Bill: Compensation
"	408 c1281-341	Div 287	145	282	2002-03	2001						
09/07/2003	"Hunting Bill (Third Reading)
"	408 c1281-341	Div 288	317	145	2002-03	2001						
30/10/2003	Pay for Chairmen of Select Committees 	412 c448-507	Div 346	86	59	2002-03	2001						
30/10/2003	Pay for Chairmen of Select Committees 	412 c448-507	Div 347	81	53	2002-03	2001						
10/11/2003	"Water Bill (HL)
Prohibition of artificial fluoridation of water supplies
"	413 c93-127	Div 357	181	284	2002-03	2001						
10/11/2003	"Water Bill (HL)
Fluoridation of water supplies
"	413 c127-31	Div 358	200	243	2002-03	2001						
22/04/2004	"Security Screen

"	420 c462-507	Div 138	120	66	2003-04	2001						
22/04/2004	"Security Screen: amendment


"	420 c462-507	Div 139	92	99	2003-04	2001						
22/04/2004	"Security Screen
"	420 c462-507	Div 140	112	76	2003-04	2001						
12/05/2004	"Visitor Facilities
"	421 c447-9	Div 171	333	46	2003-04	2001						
15/09/2004	"Hunting Bill 
Procedure 
"	424 c1274-1326	Div 246	310	158	2003-04	2001						
15/09/2004	"Hunting Bill 
Procedure: amendment 
"	424 c1274-1326	Div 247	174	303	2003-04	2001						
15/09/2004	"Hunting Bill 
Procedure: amendment 
"	424 c1274-1326	Div 248	170	297	2003-04	2001						
15/09/2004	"Hunting Bill 
Procedure 
"	424 c1274-1326	Div 249	309	157	2003-04	2001						
15/09/2004	"Hunting Bill (Second Reading) 
"	424 c1326-56	Div 250	356	166	2003-04	2001						
15/09/2004	"Hunting Bill 
Commons suggested amendments 
Commencement: amendment 
"	424 c1326-410	Div 251	342	15	2003-04	2001						
15/09/2004	"Hunting Bill 
Commons suggested amendments 
Commencement 
"	424 c1326-410	Div 253	329	8	2003-04	2001						  
15/09/2004	"Hunting Bill 
(Third Reading) 
"	424 c1411-22	Div 253	339	155	2003-04	2001						
26/10/2004	"Programming of Bills
"	425 c1308-406	Div 278	191	265	2003-04	2001						
26/10/2004	"Programming of Bills
"	425 c1308-406	Div 279	174	271	2003-04	2001						
26/10/2004	"Programming of Bills
"	425 c1308-406	Div 280	182	257	2003-04	2001						
26/10/2004	"Programming of Bills
"	425 c1308-406	Div 281	261	173	2003-04	2001						
26/10/2004	"Deferred Divisions
"	425 c1308-406	Div 282	300	130	2003-04	2001						
26/10/2004	"Carry-over of Bills
"	425 c1308-406	Div 283	296	137	2003-04	2001						
26/10/2004	"Removal of References to Strangers
"	425 c1308-406	Div 284	242	167	2003-04	2001						
03/11/2004	"Members' Allowances
"	426 c315-69	Div 307	239	109	2003-04	2001						
03/11/2004	"Members' Allowances
"	426 c315-69	Div 308	118	193	2003-04	2001						
18/11/2004	"Hunting Bill
Procedure

"	426 c1473-7	Div 337	271	136	2003-04	2001						
18/11/2004	"Hunting Bill (Lords amendments)
Motion to disagree (Lords amendments): amendment 
"	426 c1478-508	Div 338	146	286	2003-04	2001						
18/11/2004	"Hunting Bill (Lords amendments)
Motion to disagree (Lords amendments)
"	426 c1478-508	Div 339	46	345	2003-04	2001						
18/11/2004	"Hunting Bill (Lords amendments)
Motion to disagree (Lords amendments): (further) amendment 
"	426 c1478-508	Div 340	283	132	2003-04	2001						
26/01/2005	"Sitting hours
"	430 c327-93	Div 47	292	225	2004-05	2001						
26/01/2005	"Sitting hours: amendment
"	430 c327-93	Div 48	80	388	2004-05	2001						
26/01/2005	"Connecting parliament with the public
"	430 c327-93	Div 49	375	14	2004-05	2001						
26/01/2005	"Car mileage allowance
"	430 c327-93	Div 50	111	249	2004-05	2001						
10/03/2005	"Support for Members who have chosen not to take their seats: amendment
"	431 c1704-60	Div 129	170	358	2004-05	2001						
10/03/2005	"Support for Members who have chosen not to take their seats: amendment
"	431 c1704-60	Div 130	171	357	2004-05	2001						
14/02/2006	"Health Bill (Report Stage)
Smoke-free premises: exemptions
"	442 c1290-392	Div 163	453	125	2005-06	2005						
14/02/2006	"Health Bill (Report Stage)
Smoke-free premises: exemptions: amendment
"	442 c1290-392	Div 164	384	184	2005-06	2005						
14/02/2006	"Health Bill (Report Stage)
Smoke-free premises: exemptions: amendments
"	442 c1290-392	Div 165	413	129	2005-06	2005						
14/03/2006	"Animal Welfare Bill (Report Stage)
Docking of dogs' tails
"	443 c1330-1427	Div 187	476	63	2005-06	2005						
14/03/2006	"Animal Welfare Bill (Report Stage)
Docking of dogs' tails: amendment
"	443 c1330-1427	Div 188	267	278	2005-06	2005						
01/11/2006	"Legislative process (notice for amendments in public bill committee) 
"	451 c303-422	Div 334	223	172	2005-06	2005						
01/11/2006	"Communications Allowance
"	451 c303-422	Div 335	290	199	2005-06	2005						
01/11/2006	"September Sittings: Amendment
"	451 c303-422	Div 336	122	354	2005-06	2005						
01/11/2006	"Short speeches 
"	451 c303-422	Div 337	365	62	2005-06	2005						
07/03/2007	"House of Lords Reform: Motion to support principle of a bicameral Parliament
"	457 c1524-638	Div 65	416	163	2006-07	2005						
07/03/2007	"House of Lords Reform: Motion that a reformed House of Lords should be fully appointed 
"	457 c1524-638	Div 66	196	375	2006-07	2005						
07/03/2007	"House of Lords Reform: Motion that a reformed House of Lords should be composed of 50% elected members and 50% appointed members
"	457 c1524-638	Div 67	155	418	2006-07	2005						
07/03/2007	"House of Lords Reform: Motion that a reformed House of Lords should be composed of 60% elected members and 40% appointed members
"	457 c1524-638	Div 68	178	392	2006-07	2005						
07/03/2007	"House of Lords Reform: Motion that a reformed House of Lords should be composed of 80% elected members and 20%  appointed members
"	457 c1524-638	Div 69	305	267	2006-07	2005						
07/03/2007	"House of Lords Reform: Motion that a reformed House of Lords should be fully elected
"	457 c1524-638	Div 70	337	224	2006-07	2005						
07/03/2007	"House of Lords Reform: Motion concerning hereditary places: amendment
"	457 c1524-638	Div 71	241	329	2006-07	2005						
07/03/2007	"House of Lords Reform: Motion concerning hereditary places
"	457 c1524-638	Div 72	391	111	2006-07	2005						
19/05/2008	"Human Fertilisation and Embryology Bill (Committee Stage) Prohibitions in connection with genetic material not of human origin
"	476 c22-131	Div 191	176	336	2007-08	2005			  			
19/05/2008	"Human Fertilisation and Embryology Bill (Committee Stage)Prohibitions in connection with genetic material not of human origin
"	476 c22-131	Div 192	223	286	2007-08	2005						
19/05/2008	"Human Fertilisation and Embryology Bill
(Committee Stage)
Prohibitions in connection with genetic material not of human origin
"	476 c22-131	Div 193	181	314	2007-08	2005						
19/05/2008	"Human Fertilisation and Embryology Bill
(Committee Stage)
Activities that may be licensed
"	476 c22-131	Div 194	149	318	2007-08	2005						
19/05/2008	"Human Fertilisation and Embryology Bill
(Committee Stage)
Activities that may be licensed
"	476 c22-131	Div 195	163	342	2007-08	2005						
19/05/2008	"Human Fertilisation and Embryology Bill
(Committee Stage)
Activities that may be licensed
"	476 c22-131	Div 196	200	293	2007-08	2005						
20/05/2008	"Human Fertilisation and Embryology Bill
(Committee Stage)
Conditions of licences for treatment
"	476 c166-290	Div 197	217	292	2007-08	2005						
20/05/2008	"Human Fertilisation and Embryology Bill
(Committee Stage)
Conditions of licences for treatment
"	476 c166-290	Div 198	222	290	2007-08	2005						
20/05/2008	"Human Fertilisation and Embryology Bill
(Committee Stage)
Amendment of the law relating to abortion
"	476 c166-290	Div 199	71	393	2007-08	2005						
20/05/2008	"Human Fertilisation and Embryology Bill
(Committee Stage)
Amendment of the law relating to abortion (No. 3)
"	476 c166-290	Div 200	84	387	2007-08	2005						
20/05/2008	"Human Fertilisation and Embryology Bill
(Committee Stage)
Amendment of the law relating to abortion (No. 5)
"	476 c166-290	Div 201	190	332	2007-08	2005						
20/05/2008	"Human Fertilisation and Embryology Bill
(Committee Stage)
Foetal physical or mental abnormalities: information and counselling
"	476 c166-290	Div 202	173	309	2007-08	2005						
20/05/2008	"Human Fertilisation and Embryology Bill
(Committee Stage)
Amendment of the law relating to abortion (No. 7)
"	476 c166-290	Div 203	233	304	2007-08	2005						
22/10/2008	"Human Fertilisation and Embryology Bill 
Programme motion 
"	481 c324-39	Div 283	322	157	2007-08	2005						
22/10/2008	"Human Fertilisation and Embryology Bill (Report Stage)
Prohibitions in connection with embryos
"	481 c339-408 	Div 284	215	299	2007-08	2005						
22/10/2008	"Human Fertilisation and Embryology Bill (Report Stage)
Prohibitions in connection with embryos
"	481 c339-408 	Div 285	206	298	2007-08	2005						
22/10/2008	"Human Fertilisation and Embryology Bill (Report Stage) Prohibitions in connection with genetic material not of human origin
"	481 c339-408 	Div 286	194	306	2007-08	2005						
22/10/2008	"Human Fertilisation and Embryology Bill (Report Stage)
Commencement
"	481 c339-408 	Div 287	183	308	2007-08	2005						
22/10/2008	"Human Fertilisation and Embryology Bill (Third Reading) 
"	481 c339-411 	Div 288	355	129	2007-08	2005						
22/02/2010	Report from the House of Commons Reform Committee on Rebuilding the House					2009-10	2005						
10/02/2011	"Voting by prisoners 

"	523 c493-586	Div 199	234	22	2010-12	2010						
05/02/2013	"Marriage (Same Sex Couples) Bill  (Second Reading) 
"	558 c125-235	Div 151	400	175	2012-13	2010						
10/02/2014	"Children and Families Bill (Lords amendments)
Children's health: offence of smoking in a private vehicle 
"	575 c601-30	Div 207	376	107	2013-14	2010						
10/02/2014	"Children and Families Bill (Lords amendments)
Children's health: offence of smoking in a private vehicle "	575 c601-34	Div 208	453	24	2013-14	2010						
03/02/2015	"Draft Human Fertilisation and Embryology (Mitochondrial Donation) Regulations 2015 (Motion to approve) 
"	592 c160-90	Div 147	382	128	2014-15	2010						
23/02/2015	"Serious Crime Bill (HL) (Report Stage)
Termination of pregnancy on grounds of sex of unborn child
"	593 c113-34	Div 157	201	292	2014-15	2010						
23/02/2015	"Serious Crime Bill (HL) (Report Stage)
Termination of pregnancy on grounds of sex of foetus (assessment of evidence)
"	593 c149-54	Div 161	491	2	2014-15	2010						
11/03/2015	"Draft Standardised Packaging of Tobacco Products Regulations 2015
(Motion to approve - deferred division)
"	594 c379-82	Div 174	367	113	2014-15	2010						
26/03/2015	"Elections for positions in the House:
Motion concerning re-election of former Speaker and secret ballot
"	594 c1611-32	Div 188	202	228	2014-15	2010						
11/09/2015	Assisted dying (No.2) Bill (Second Reading)	599 c656-725	Div 69	118	330	2015-16	2015						
31/01/2018	Report of the Joint Committee on Restoration and Renewal (Motion to approve) Amendment C	635 c928	Div 111	47	410	2017-19	2017						
31/01/2018	Report of the Joint Committee on Restoration and Renewal (Motion to approve) Amendment B	635 c932	Div 112	236	220	2017-19	2017						
31/01/2018	Report of the Joint Committee on Restoration and Renewal (Motion to approve) Main Question	635 c878-939	Div 113	234	185	2017-19	2017						
14/03/2019	UK’s Withdrawal from the European Union - Extension of Article 50	635 cc553-632	Div 364	412	202	2017-19	2017						
09/07/2019	Northern Ireland (Executive Formation and Exercise of Functions) Bill (Committee of Whole House) New clause 1 (Marriage of same sex couples)	663 c161-261	Div 430	294	293	2017-19	2017						
09/07/2019	Northern Ireland (Executive Formation and Exercise of Functions) Bill (Committee of Whole House) New clause 10 (requires secondary legislation to be laid relating to abortion rights of women in Northern Ireland)	663 c161-261	Div 428	332	99	2017-19	2017						
30/03/2022	"Health and Care Bill (Lords amendments)
Making permanent telemedicine for early medical abortion"	711 cc860-951	Div 237 	215	188	2021-22	2019						
18/10/2022	"Public Order Bill (Rport Stage)
Introduces areas around abortion clinics and hospitals (buffer zones) where interference with, and intimidation or harassment of, women accessing or people providing abortion services would be an offence"	720 cc548-629	Div 62	297	110	2022-23	2019						
13/05/2024	"Risk-based Exclusion
Motion to approve (Amendment O)"	750 cc69-108	Div 150	170	169	2023-24	2019						
29/11/2024	Terminally Ill Adults (End of Life) Bill (Second Reading)	757 cc1009-1083	Div 51	330	275	2024-25	2024						
													
Sources:													
Commons Hansard													
Parliamentary Search													
Press reports 													
* Hansard gives same number for both divisions													
													
"House of Commons Library breifing, Free votes in the House of Commons since 1979"													
"CBP04793, 9 December 2024"													
